1/10                     1/10 -1.734046e-02
suck                     suck -1.511997e-02
gonna                   gonna -1.447119e-02
crap                     crap -1.428900e-02
renting               renting -1.377512e-02
sucks                   sucks -1.375738e-02
pile                     pile -1.369959e-02
ha                         ha -1.333499e-02
cant                     cant -1.318722e-02
waste                   waste -1.311607e-02
yourself             yourself -1.276334e-02
your                     your -1.221356e-02
ashamed               ashamed -1.195785e-02
thats                   thats -1.184216e-02
rented                 rented -1.143835e-02
rent                     rent -1.093258e-02
dude                     dude -1.090403e-02
junk                     junk -1.086865e-02
!                           ! -1.086794e-02
yeah                     yeah -1.075653e-02
oh                         oh -1.062221e-02
bad                       bad -1.036635e-02
m                           m -1.029548e-02
sucked                 sucked -1.014171e-02
stupid                 stupid -1.010633e-02
sat                       sat -9.769052e-03
garbage               garbage -9.766861e-03
?                           ? -9.460136e-03
damn                     damn -9.429127e-03
hated                   hated -9.392927e-03
porn                     porn -9.332944e-03
worst                   worst -9.162483e-03
horrible             horrible -9.112670e-03
please                 please -8.964589e-03
joke                     joke -8.929798e-03
crappy                 crappy -8.775485e-03
walked                 walked -8.753836e-03
mean                     mean -8.653261e-03
wow                       wow -8.494647e-03
pathetic             pathetic -8.262435e-03
mst                       mst -8.228434e-03
t                           t -8.145091e-03
idiot                   idiot -8.114334e-03
laugh                   laugh -8.107368e-03
retarded             retarded -8.096500e-03
figured               figured -8.090100e-03
remotely             remotely -8.085435e-03
honestly             honestly -8.077249e-03
embarrassed       embarrassed -8.064836e-03
hey                       hey -8.051608e-03
chick                   chick -7.914920e-03
write                   write -7.834689e-03
imdb                     imdb -7.783374e-03
somebody             somebody -7.739212e-03
santa                   santa -7.733065e-03
thank                   thank -7.704378e-03
you                       you -7.651854e-03
review                 review -7.458540e-03
you'd                   you'd -7.455431e-03
awful                   awful -7.364947e-03
laughed               laughed -7.331572e-03
random                 random -7.209846e-03
worse                   worse -7.134528e-03
sit                       sit -7.083974e-03
alright               alright -7.077823e-03
asleep                 asleep -7.073356e-03
channel               channel -7.063193e-03
sorry                   sorry -7.047478e-03
myself                 myself -7.024230e-03
hate                     hate -7.006638e-03
saying                 saying -6.994162e-03
hell                     hell -6.897933e-03
bet                       bet -6.846439e-03
halfway               halfway -6.796390e-03
don                       don -6.788433e-03
don't                   don't -6.765678e-03
terrible             terrible -6.748823e-03
cable                   cable -6.745898e-03
i'd                       i'd -6.727073e-03
i'm                       i'm -6.716193e-03
ass                       ass -6.643638e-03
kinda                   kinda -6.641324e-03
reviews               reviews -6.617650e-03
guess                   guess -6.559909e-03
would've             would've -6.559614e-03
want                     want -6.484595e-03
theaters             theaters -6.476385e-03
laughing             laughing -6.452355e-03
supposed             supposed -6.380368e-03
ask                       ask -6.375435e-03
asian                   asian -6.366005e-03
stupidity           stupidity -6.365683e-03
zombies               zombies -6.365476e-03
insult                 insult -6.330901e-03
thinking             thinking -6.311327e-03
bought                 bought -6.290317e-03
clich                   clich -6.281825e-03
i                           i -6.277918e-03
lousy                   lousy -6.271810e-03
lame                     lame -6.268830e-03
you're                 you're -6.243287e-03
seriously           seriously -6.242413e-03
heck                     heck -6.234242e-03
watched               watched -6.177966e-03
wait                     wait -6.176140e-03
dumb                     dumb -6.165012e-03
blah                     blah -6.150293e-03
zero                     zero -6.128813e-03
bother                 bother -6.102390e-03
forgot                 forgot -6.052466e-03
vampires             vampires -5.997571e-03
unless                 unless -5.889264e-03
scare                   scare -5.868859e-03
cabin                   cabin -5.841513e-03
whoever               whoever -5.837572e-03
trash                   trash -5.823236e-03
screaming           screaming -5.813555e-03
tape                     tape -5.798600e-03
here's                 here's -5.746862e-03
clue                     clue -5.727683e-03
thought               thought -5.724508e-03
excuse                 excuse -5.680290e-03
couldn't             couldn't -5.670847e-03
i'll                     i'll -5.653116e-03
didn't                 didn't -5.631371e-03
maybe                   maybe -5.623364e-03
bunch                   bunch -5.594479e-03
d                           d -5.565791e-03
blockbuster       blockbuster -5.532649e-03
scream                 scream -5.521129e-03
unrealistic       unrealistic -5.502113e-03
watching             watching -5.436567e-03
crying                 crying -5.435810e-03
me                         me -5.412457e-03
ratings               ratings -5.394907e-03
buy                       buy -5.365820e-03
redeeming           redeeming -5.322593e-03
pointless           pointless -5.308398e-03
suppose               suppose -5.303599e-03
you'll                 you'll -5.303519e-03
ok                         ok -5.301355e-03
rental                 rental -5.275531e-03
wasn't                 wasn't -5.255881e-03
why                       why -5.235173e-03
you've                 you've -5.189636e-03
expecting           expecting -5.161081e-03
guy                       guy -5.127938e-03
costs                   costs -5.116660e-03
:)                         :) -5.108270e-03
know                     know -5.102878e-03
throw                   throw -5.063178e-03
wouldn't             wouldn't -5.054984e-03
video                   video -5.045967e-03
let's                   let's -5.010624e-03
hoping                 hoping -4.983232e-03
comment               comment -4.980918e-03
watch                   watch -4.958674e-03
happen                 happen -4.918608e-03
scared                 scared -4.904625e-03
lesbian               lesbian -4.896939e-03
am                         am -4.888701e-03
could've             could've -4.828073e-03
avoid                   avoid -4.810243e-03
rubbish               rubbish -4.804273e-03
movies                 movies -4.803897e-03
admit                   admit -4.788551e-03
money                   money -4.788102e-03
let                       let -4.768176e-03
funnier               funnier -4.751801e-03
fat                       fat -4.738420e-03
assume                 assume -4.725296e-03
anymore               anymore -4.725022e-03
advice                 advice -4.716115e-03
paid                     paid -4.701722e-03
wrong                   wrong -4.701407e-03
torture               torture -4.691188e-03
deserve               deserve -4.689936e-03
stuff                   stuff -4.682121e-03
disbelief           disbelief -4.671149e-03
whatsoever         whatsoever -4.670809e-03
jump                     jump -4.656547e-03
someone               someone -4.615626e-03
my                         my -4.610654e-03
comments             comments -4.610383e-03
sick                     sick -4.597320e-03
3/10                     3/10 -4.568607e-03
unbelievable     unbelievable -4.549244e-03
90                         90 -4.545544e-03
if                         if -4.505282e-03
metal                   metal -4.504648e-03
tell                     tell -4.494709e-03
fake                     fake -4.457427e-03
decided               decided -4.446541e-03
9                           9 -4.442816e-03
fell                     fell -4.406956e-03
atrocious           atrocious -4.402128e-03
5                           5 -4.391025e-03
excited               excited -4.369855e-03
think                   think -4.369469e-03
horribly             horribly -4.345939e-03
week                     week -4.328002e-03
